id,name,rank,rankPoints,wins,games,winRatio,averageDamage,kills,killDeathRatio,averageRank,grade
account.3f79c50389bc43c5ad934d3d70adf1c2,Twitch_todol,1,7724,397,1789,0.22191168,397,6062,4.348637,20.387926,1
account.b595b519e3a24a4ca9913f7b48905a77,twitch_Mongtenna,2,7386,305,1786,0.17077267,401,6037,4.0680594,25.385778,1
account.dd94e8c15eac442a8954c4dd1375dae9,eeeeeeeeeeeeeeQ,3,7152,268,1178,0.22750424,310,3143,3.446272,14.943973,1
account.f856ae9ed09e44aba7afb7c98f6a0baf,QQMQQ_,4,7026,354,830,0.426506,601,4466,9.304167,9.912048,1
account.ce37497cea794b8b9df7334aa5cc1d29,CSkiller-007,5,7001,157,1282,0.122464895,343,3619,3.216889,20.841654,1
account.38aeda2df88a4423a2172f33bed3de68,mdy908713,6,6942,102,1905,0.053543307,266,4041,2.2387812,38.967453,1
account.cb6af943e4ec427e93e21b68f51da378,Qun-376023803-fz,7,6939,358,992,0.3608871,373,3022,4.7292643,13.910282,1
account.7c8dc4e801db48e59e9b54ebf7ffe698,huya-10291639,8,6900,185,1185,0.15611814,412,4195,4.1824527,25.849789,1
account.d7e6ca9144be48449e2e2f9e5f07e294,Kemal_SunaL,9,6880,97,1381,0.070238955,273,2958,2.2983682,30.501085,1
account.52aa8c14e05c45eea359fe62c619fc71,2218854316yy,10,6874,63,1311,0.04805492,107,1120,0.89671737,15.980167,1
account.d51dd55fab8f4bc6bcb6e648232b1df0,kesinisb,11,6870,63,1969,0.031995937,297,4418,2.3179433,43.03555,1
account.a50bec063c7d4bf0b0f9ec87cef9f68f,DouYu--6346455,12,6815,189,1347,0.1403118,390,4451,3.843696,34.86266,1
account.1d61584f5c81434ba4d5344d55a55b9f,edisonxianfeng,13,6746,156,841,0.18549345,298,1894,2.7569141,16.48157,1
account.c2da0efb32654edeab6b7fbacdd1b7ab,IMBatMan-Lxy,14,6746,6,3247,0.0018478596,130,3548,1.0947238,51.188175,1
account.dd29b1eb04ed47d79081167ebfacad1e,thenajat,15,6724,66,1587,0.0415879,226,2947,1.9349967,36.977314,1
account.8833c74411ce4fbda0b357380a6c6760,Neeeeeeeeeeeee,16,6705,63,1407,0.04477612,308,4079,3.0304606,38.060413,1
account.de1227b7eaaf42d7aaed1861450de71d,ninggang1976,17,6695,3,2066,0.0014520814,126,1720,0.83373725,35.612778,1
account.1f6d2128c4b342cfa2b1bbe22cb00015,Min-m4a1,18,6679,112,1471,0.07613868,321,4077,3.0,38.725357,1
account.a0f26b340f774cc684c69ba28c16806b,GIA7777777,19,6676,129,1273,0.10133543,339,3685,3.2127287,38.32993,1
account.f034b7d1574b410d88a187e3060ed82e,Ray2022,20,6676,22,4326,0.0050855293,151,5408,1.2562137,55.257282,1
account.80ae1f45a1ba4ad88927cffe3f24ec48,AICHI-PUTAO,21,6672,73,1544,0.047279794,283,3429,2.3294837,35.99158,1
account.4038c3dd77de408dbfcbe747bcc89ca7,longshadadui,22,6613,39,1342,0.029061103,218,2022,1.5518036,29.526081,1
account.257184f365594932a079ab0f451f406d,carima,23,6612,58,1367,0.042428676,258,2783,2.122807,38.427944,1
account.8f733b5eac6a444eb1244a5be50372e3,Ha_noJI_4apJIuka,24,6587,54,1319,0.040940106,281,2824,2.2306478,34.597424,1
account.d7c78b929a0f4da5a3e4260e3bc8242f,meiyumuxiaoOvO,25,6566,157,1463,0.10731374,406,5093,3.8907564,48.062885,1
account.a2465801e62143b3b1fca6cd29949889,NJHunter,26,6561,104,888,0.117117114,323,2356,3.0051022,26.021397,1
account.e555200a46ce435aa58a29d5f3c6101c,LZY-111022,27,6529,22,1446,0.0152143845,127,1463,1.0273876,28.516598,1
account.336af7f6f0344dbc8c35516a74cbed14,laochazatan,28,6521,46,996,0.046184737,194,1441,1.5136554,25.567268,1
account.a6c675475dd54cdea0daacc0cb755076,sitty159,29,6506,22,1697,0.012964054,128,1711,1.0208831,39.66942,1
account.c6223ded1db645719bda1db71a03bde6,NeiHanTVppx,30,6501,47,993,0.04733132,252,1884,1.9894403,29.817724,1
account.f85457e5f6144eb1a5cdc4d91bc87ac8,laozipapa,31,6500,17,1494,0.011378849,225,3035,2.0548408,41.976574,1
account.e0c2a073c8b142a18e5c5c103a0c1212,unknowN-Rover-_-,32,6496,152,809,0.18788628,393,2702,4.1001515,25.12361,1
account.dc3963cc1a61429681d5ccbbf4b34ff0,4eI7yXa_T-3,33,6494,50,1787,0.027979854,178,2558,1.4718066,38.202576,1
account.9919e82e260c4bbcb4c862ba5f0999cf,DKH-keywebxpy,34,6490,136,1753,0.07758129,328,5318,3.2888064,32.58072,1
account.a88356d6e5ba4aceba429cdaa07274dd,BoLuo_i,35,6481,8,2860,0.002797203,128,2817,0.9877279,50.81154,1
account.7fac7106dc484cc6b60abf76518399da,AJW_QaQ,36,6480,133,797,0.16687578,281,1852,2.764179,19.400251,1
account.6a097d00cde846ebabce07bcc632ad00,MaSento1,37,6478,93,1065,0.08732394,220,1776,1.8271605,35.0723,1
account.41ceaed83ee7453fadad19ec6a660834,CTAPbIY,38,6475,59,1141,0.051709026,294,2575,2.3776546,35.438213,1
account.fd920dbdb61649198f4dce8031113f68,PlayPlayPC,39,6474,33,2201,0.014993185,167,3002,1.3846864,27.557928,1
account.6219b24ec0364774acb82028941d7203,0i_I_iQAQi_I_i0,40,6472,39,3329,0.01171523,177,5402,1.6419452,55.35296,1
account.318bcf9201cf45a6b37cacfda27e751d,ININBRAVE,41,6466,40,971,0.041194644,187,1418,1.5230935,27.247168,1
account.f93f51acf1134acaacef1d7189463729,HB-L3,42,6461,19,1022,0.018590998,133,1144,1.1394422,27.298435,1
account.a715b2b0a7714e79b2d4e7a53bedc073,LONG-ADC,43,6455,92,964,0.09543569,319,2542,2.9117985,29.797718,1
account.4402c8c893524edf9211ed21f0c803e0,ZhangBing66666,44,6450,43,1025,0.04195122,217,1758,1.7902241,32.65951,1
account.0764243c5e6c4b59b9c225e339ccdec5,TLYYSYS,45,6447,82,1043,0.07861937,249,1988,2.066528,34.05657,1
account.c68b26cc070943968bc0f1727a31f116,YYtv7342-Cc,46,6439,148,828,0.17874396,476,3531,5.185022,32.422707,1
account.845bf220be79400689547769ff8606ee,Timo7624,47,6434,59,1006,0.058648113,206,1580,1.6684266,25.817097,1
account.f5418e27430b4c1bbe180ab51af1cec1,DouYuTv-7320893,48,6428,79,850,0.09294118,237,1781,2.309987,24.012941,1
account.0be1790139314e47acdce071e463913a,Hebe3C20190613,49,6422,23,1299,0.017705929,236,2562,2.0062647,39.623558,1
account.8f431a52baf0477cbb4e98a1146ee9d4,19681035yu,50,6421,18,1822,0.009879254,115,1614,0.8946785,41.72283,1
account.217ba42961cf45648f72098d6c45d490,amoslHl,51,6416,30,1520,0.019736841,168,1941,1.3026845,37.000656,1
account.a8457aed97474bfd83cd5c33b4091f9e,YOYO_LJH,52,6416,15,1358,0.011045655,121,1232,0.9173492,33.733433,1
account.753769c5bd1b41be99df2959f7194296,nmmmpxx,53,6414,39,842,0.04631829,97,694,0.8631841,17.895487,1
account.30a7d6beed39447e8091e525f9f53ebd,c24m,54,6412,25,1235,0.020242915,136,1282,1.0586293,30.19514,1
account.e72f55fb4052404ea219f5f1462820e9,Ws_dashuai,55,6411,20,1496,0.013368984,196,2437,1.6510841,43.83623,1
account.7295f249a87b446c966b5ffacb333da9,Citipost,56,6410,22,1808,0.012168142,271,4216,2.3605824,52.954094,1
account.60806225b0f543fb9f6d91c26cc1d962,Edwinw0w,57,6408,46,678,0.06784661,304,1848,2.9194312,20.511799,1
account.f79f254c742d46f981eaec562374fefc,lesysunshine2-25,58,6408,44,1641,0.026812918,194,2490,1.5591735,41.40707,1
account.c2cfa1f35f104a319b7ded231ff9b4f3,WG-130,59,6407,54,1245,0.043373495,298,3030,2.5419464,44.73815,1
account.332a8cc139f14ae98bd5552b41178399,LoneWolfAndy,60,6407,18,2578,0.0069821565,167,3442,1.3445313,55.413887,1
account.2f6652cebbbb4d64812c4db1576057cf,No1_SCAL,61,6407,161,996,0.16164659,304,2740,3.2580261,21.53715,1
account.473a5f777dbe4cdab2ec1aae8ab1f1f3,R_U_B_I_K,62,6406,48,1073,0.04473439,244,2228,2.1736586,36.39888,1
account.922e682a52254dc0975393a413e67b3b,mql121891,63,6406,21,1454,0.014442916,76,873,0.60921144,34.649242,1
account.755bf13ae8cd4eac91c72f74d38f2f33,Xiaohao-32,64,6406,30,793,0.03783102,187,1282,1.6802098,22.688524,1
account.3bb228ae99754530a43442025c2c0f1a,GLWBKBZ,65,6399,33,917,0.035986915,199,1441,1.6300905,29.232279,1
account.9026ceb4528f4101953724a6defddac9,767gg,66,6399,66,716,0.09217877,185,1007,1.5397553,16.860334,1
